rmsd,Rg,S1,S2,L1,L2,T,NC,nonNC
0.6966051684446029,0.5839701684927722,0.0,0.0,0.0,0.0,0.006999999999999999,0.003,0.052000000000000005
0.42235984565999807,0.06845594328330723,0.012,0.0,0.0,0.08199999999999999,0.0,0.015,0.35200000000000004
0.13251840083006386,0.062056900837860335,1.078,0.973,1.094,0.429,0.8140000000000001,0.988,0.0
0.6277682306021205,0.4324187459718257,0.247,0.0,0.0,0.0,0.0,0.096,0.326
0.6774423656820466,0.48835282202375463,0.0,0.0,0.0,0.0,0.07,0.028999999999999998,0.231
0.26947894037158326,0.025043734462756668,0.35700000000000004,0.10099999999999999,0.7290000000000001,0.0,0.022000000000000002,0.171,0.6679999999999999
0.5438863850069713,0.2559156615412945,0.0,0.0,0.0,0.0,0.0,0.0,0.242
0.6217697221231478,0.39572783353282376,0.0,0.0,0.0,0.0,0.0,0.0,0.196
0.26007587302616647,0.07080379338919077,0.98,0.0,0.0,0.184,0.49200000000000005,0.61,0.055
0.4695697286080218,0.14754626645796884,0.044000000000000004,0.0,0.0,0.0,0.079,0.05,0.5329999999999999
0.4514769300606336,0.18805818985360465,0.0,0.0,0.0,0.0,0.015,0.006,0.48
0.4624687915437242,0.20697909953043003,0.14,0.0,0.0,0.0,0.015,0.061,0.612
0.38591485360396877,0.12641561550501804,0.429,0.0,0.0,0.013999999999999999,0.024,0.179,0.315
0.12810868648876494,0.06679863732621315,1.05,0.9840000000000001,1.094,0.593,1.0759999999999998,1.11,0.0
0.26740378068156023,0.0400515606297763,0.19399999999999998,0.6859999999999999,1.337,0.048,0.19,0.28800000000000003,0.373
0.47709218248435525,0.18248780038670478,0.0,0.0,0.0,0.0,0.0,0.0,0.32299999999999995
0.2601082973963231,0.07121811987846424,0.644,0.0,0.0,0.198,0.483,0.47700000000000004,0.069
0.5096462501215914,0.2605192891998896,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.25783859148536037,0.07830770647270058,0.898,0.037000000000000005,0.486,0.055,0.387,0.527,0.083
0.46908336305567266,0.32487800386704724,0.156,0.0,0.0,0.0,0.0,0.061,0.428
0.11244771570312247,0.07655832796243447,1.092,0.845,1.094,0.579,0.8440000000000001,1.005,0.0
0.28257838591485357,0.03991345180001844,0.273,0.76,1.337,0.102,0.179,0.33399999999999996,0.22399999999999998
0.2618267890146234,0.041432648927354765,0.455,0.085,0.851,0.0,0.02,0.20600000000000002,0.618
0.4557245225511494,0.18736764570481537,0.0,0.0,0.0,0.0,0.013000000000000001,0.005,0.6779999999999999
0.47479005220323595,0.3236810606758126,0.147,0.0,0.0,0.0,0.0,0.057,0.235
0.4330598878116793,0.16614492219869262,0.0,0.0,0.0,0.0,0.017,0.006999999999999999,0.7440000000000001
0.5028047080185468,0.1702881870914281,0.231,0.0,0.0,0.0,0.0,0.09,0.237
0.37777633669465976,0.08599576466255417,0.187,0.0,0.0,0.0,0.11199999999999999,0.11900000000000001,0.716
0.4676566907687818,0.12489641837768171,0.002,0.0,0.0,0.061,0.0,0.009000000000000001,0.263
0.23686002399403389,0.09971457508516719,0.469,0.037000000000000005,0.851,0.0,0.061,0.221,0.447
0.24937583087448525,0.059064542859773625,0.544,0.0,0.0,0.382,0.42,0.43700000000000006,0.23
0.5776401543400019,0.31636129269864643,0.0,0.0,0.0,0.0,0.027999999999999997,0.012,0.099
0.3098472812165624,0.12171991529325114,0.10300000000000001,0.0,0.0,0.0,0.138,0.09699999999999999,0.65
0.05910962679549949,0.0738421876438634,1.02,1.111,1.337,1.063,0.7170000000000001,1.036,0.0
0.24642521319023375,0.07513120338827001,0.7020000000000001,0.0,0.0,0.46299999999999997,0.44799999999999995,0.521,0.17800000000000002
0.3994682403294316,0.1857103397477212,0.385,0.0,0.0,0.027000000000000003,0.024,0.163,0.276
0.5044907752666905,0.3468833440751311,0.0,0.0,0.0,0.0,0.0,0.0,0.252
0.42955805583476536,0.1648098701777,0.0,0.0,0.0,0.0,0.006999999999999999,0.003,0.84
0.5109108005576992,0.18248780038670478,0.0,0.0,0.0,0.0,0.0,0.0,0.38299999999999995
0.43270321973995657,0.15633919528588536,0.863,0.0,0.0,0.0,0.0,0.336,0.184
0.6131772640316462,0.38665868704539175,0.226,0.0,0.0,0.0,0.0,0.08800000000000001,0.188
