8,8,8,8,8,8,7,6
15,8,8,8,8,8,8,8,8,6
14,9,8,8,8,8,8,8,8,6
<<<<<<< HEAD
35,27,19,9,9,9,9,8,5,8
36,20,18,16,9,11,10,9,8,8
37,27,18,11,9,11,9,9,9,8
39,14,20,10,9,11,8,8,8,8
35,26,20,16,10,10,9,8,8,8
29,27,14,10,16,10,8,8,8,8
29,21,20,19,10,10,8,8,8,8
36,25,18,16,16,11,9,9,8,8
35,21,18,10,10,10,9,9,8,8
38,27,14,16,10,9,8,8,8,8
37,21,18,19,9,9,7,8,8,8
37,29,20,12,16,11,10,9,8,8
38,28,20,18,16,9,8,8,8,5
39,19,19,13,16,10,10,8,8,8
38,27,20,9,9,10,10,9,8,8
36,26,21,16,11,11,9,9,8,8
37,28,20,16,9,10,8,8,8,8
37,30,20,12,9,11,10,8,8,8
34,27,20,16,16,16,10,9,5,5
39,22,20,18,10,10,8,9,8,8
29,20,20,19,9,9,10,9,8,8
33,20,20,19,9,9,8,9,8,8
38,20,21,11,9,11,10,9,8,8
38,20,20,11,9,11,7,8,8,8
31,31,20,11,9,9,8,8,8,8
36,27,20,16,11,11,9,8,8,8
35,14,20,10,10,10,8,8,8,8
34,18,18,9,9,11,9,8,8,8
41,29,20,16,10,10,8,8,8,8
38,22,20,18,11,10,9,9,9,8
36,28,20,11,10,9,7,8,8,8
36,26,14,16,10,9,9,8,8,8
34,13,14,16,9,9,9,9,9,5
39,21,20,18,10,10,9,9,8,8
33,23,20,18,9,11,10,9,5,5
38,25,18,9,10,10,10,8,8,8
35,28,20,18,9,11,10,8,8,5
31,27,18,13,11,11,9,8,8,8
34,23,20,19,9,10,7,9,8,8
35,27,20,16,15,8,9,9,8,8
36,27,18,16,11,10,9,9,8,8
37,26,18,9,9,9,7,9,8,8
41,27,20,16,10,10,8,8,8,8
36,20,20,19,16,11,9,8,8,8
35,26,18,16,16,11,10,8,8,8
39,27,14,11,9,11,8,8,8,8
32,27,20,16,15,11,9,8,8,8
32,27,20,9,10,10,10,9,8,8
36,27,18,16,16,10,9,8,8,5
38,25,18,12,16,10,8,8,8,8
38,27,14,18,16,10,9,8,7,8
42,29,21,21,16,8,10,8,10,8
38,30,18,18,16,9,16,10,9,9
39,30,20,18,16,15,16,9,8,8
38,26,20,19,13,9,9,9,10,9
43,26,14,18,16,15,9,10,9,9
36,25,20,19,18,17,16,11,9,8
41,28,26,20,11,9,11,10,9,9
42,27,18,17,16,9,10,9,8,8
=======
27,18,10,8,8,8,8,8,8,8
27,17,9,9,8,8,8,8,8,8
27,16,10,8,8,8,8,8,8,8
29,10,10,8,8,8,8,8,8,8
20,15,9,8,8,8,8,8,8,8
26,13,9,7,7,8,8,8,8,8
24,11,9,7,8,8,8,8,8,8
27,9,8,9,8,8,8,8,8,8
27,19,11,8,8,8,8,8,8,5
26,16,9,8,8,8,8,8,8,8
27,12,11,8,8,8,8,8,8,8
28,11,8,8,8,8,8,8,8,8
27,9,10,8,8,8,8,8,8,8
21,15,10,8,8,8,8,8,8,8
26,10,8,8,8,8,8,8,8,8
24,17,9,9,8,8,8,8,8,8
24,11,11,9,8,8,8,8,8,8
28,18,16,8,8,8,8,8,8,8
27,16,9,9,9,8,8,8,8,8
27,11,9,8,8,8,8,5,5,8
21,13,8,9,8,8,8,8,8,8
22,16,9,5,8,8,8,8,8,8
21,9,9,8,8,8,8,8,8,8
15,14,10,7,8,8,8,8,8,8
28,17,10,8,8,8,8,8,8,8
28,20,9,8,5,8,8,8,8,8
25,16,15,7,8,8,8,8,8,8
27,16,9,7,8,8,8,8,8,8
28,12,10,8,8,8,8,8,8,8
18,16,8,9,9,8,8,8,8,8
22,10,10,8,8,8,8,8,8,8
16,10,8,8,8,8,8,8,8,8
27,12,10,8,8,8,8,8,8,8
29,17,8,8,8,8,8,8,8,8
23,14,10,8,8,8,8,8,8,8
25,19,9,7,8,8,8,8,8,8
26,10,11,9,8,8,8,8,8,8
27,9,9,7,8,8,8,8,8,8
27,9,9,9,8,8,8,8,8,8
21,11,9,9,8,8,8,8,8,8
28,19,9,8,8,8,8,8,8,8
27,16,9,8,8,8,8,8,8,8
28,15,10,8,8,8,8,8,8,8
29,16,11,5,8,8,8,8,8,8
26,16,16,5,8,8,8,8,8,8
27,18,11,9,8,8,8,8,8,8
27,11,11,9,8,8,8,8,8,8
25,19,8,8,8,8,8,8,8,8
